airline,title,summary,link,published,text,text_summary
JetBlue,JetBlue lost bag with my precious wedding gown and medications. How can they offer $181?,JetBlue lost my all-important bag for 43 days as I left on my 50th anniversary trip to Greece with my children and grandchildren. The bag contained necessary medications for our ...,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=689952c111644f1b9ea1f2510fc9602a&url=https%3a%2f%2fwww.nola.com%2fentertainment_life%2fjet-blue-lost-bag-wedding-dress-gown%2farticle_dffc5050-52ea-4588-9d7d-03ce3454e01f.html&c=13869098304896192679&mkt=en-us,"Sun, 10 Aug 2025 08:29:00 GMT",JetBlue lost bag with my precious wedding gown and medications. How can they offer $181?,JetBlue lost my all-important bag for 43 days as I left on my 50th anniversary trip to Greece with my children and grandchildren. The bag contained necessary medications for our ...
JetBlue,Controversial airline abandons Bay Area hub after just 18 months,"A couple of weeks later, Delta announced new Seattle-Rome and Seattle-Barcelona service, both also starting in May 2026, expanding on its existing Seattle routes to London, Paris and Amsterdam. And ...",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=689952c111644f1b9ea1f2510fc9602a&url=https%3a%2f%2fwww.msn.com%2fen-us%2ftravel%2fnews%2fsfos-second-largest-airline-eliminates-53-year-old-logo-on-new-planes%2far-AA1Kdf9E&c=2349518459747635235&mkt=en-us,"Sat, 09 Aug 2025 11:00:00 GMT",Controversial airline abandons Bay Area hub after just 18 months,"A couple of weeks later, Delta announced new Seattle-Rome and Seattle-Barcelona service, both also starting in May 2026, expanding on its existing Seattle routes to London, Paris and Amsterdam. And ..."
JetBlue,7 Exciting New Flight Routes Launching This Winter,"Spirit Airlines is adding a new nonstop route between Fort Lauderdale-Hollywood International Airport (FLL) and Key West International Airport (EYW), commencing November 6, 2025. The new service will ...",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=689952c111644f1b9ea1f2510fc9602a&url=https%3a%2f%2fwww.msn.com%2fen-us%2ftravel%2fnews%2f7-exciting-new-flight-routes-launching-this-winter%2far-AA1KaEnG&c=773195284161433976&mkt=en-us,"Fri, 08 Aug 2025 10:32:00 GMT",7 Exciting New Flight Routes Launching This Winter,"Spirit Airlines is adding a new nonstop route between Fort Lauderdale-Hollywood International Airport (FLL) and Key West International Airport (EYW), commencing November 6, 2025. The new service will ..."
JetBlue,"JetBlue boosts customer satisfaction, says financial gains will follow","We believe that on-time performance and customer satisfaction are leading indicators for improved financial performance and that running a strong operation is essential,” CEO Joanna Geraghty said.",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=689952c111644f1b9ea1f2510fc9602a&url=https%3a%2f%2ffinance.yahoo.com%2fnews%2fjetblue-boosts-customer-satisfaction-says-070000631.html%3ffr%3dsycsrp_catchall&c=9696724537699136077&mkt=en-us,"Mon, 04 Aug 2025 05:07:00 GMT","JetBlue boosts customer satisfaction, says financial gains will follow","We believe that on-time performance and customer satisfaction are leading indicators for improved financial performance and that running a strong operation is essential,” CEO Joanna Geraghty said."
JetBlue,Travel Troubleshooter: JetBlue lost my wedding dress and won’t reimburse me,"The right to a refund is outlined in the Montreal Convention, an international treaty that established rules and limits regarding airline liability for baggage.",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=689952c111644f1b9ea1f2510fc9602a&url=https%3a%2f%2fwww.sun-sentinel.com%2f2025%2f08%2f04%2fjetblue-lost-my-wedding-dress-and-wont-reimburse-me-can-you-help%2f&c=16757122226099787337&mkt=en-us,"Mon, 04 Aug 2025 06:50:00 GMT",Travel Troubleshooter: JetBlue lost my wedding dress and won’t reimburse me,"The right to a refund is outlined in the Montreal Convention, an international treaty that established rules and limits regarding airline liability for baggage."
JetBlue,"JetBlue Airways Corp. stock rises Monday, still underperforms market",The stock's rise snapped a three-day losing streak.,http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=689952c111644f1b9ea1f2510fc9602a&url=https%3a%2f%2fwww.marketwatch.com%2fdata-news%2fjetblue-airways-corp-stock-rises-monday-still-underperforms-market-b5e9774b-15ec83575d2f&c=9037331790925376634&mkt=en-us,"Mon, 04 Aug 2025 14:28:00 GMT","JetBlue Airways Corp. stock rises Monday, still underperforms market",The stock's rise snapped a three-day losing streak.
JetBlue,There are lots of ways to secure more personal space on a plane. Try these.,"Passengers can sometimes secure extra space on flights without paying for business class. Options include paying for an empty adjacent seat, extra legroom, or bidding for upgrades. Cruising Altitude ...",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=689952c111644f1b9ea1f2510fc9602a&url=https%3a%2f%2fwww.msn.com%2fen-us%2ftravel%2fnews%2fthere-are-lots-of-ways-to-secure-more-personal-space-on-a-plane-try-these%2far-AA1K0mAW&c=2435616922506067132&mkt=en-us,"Wed, 06 Aug 2025 03:59:31 GMT",There are lots of ways to secure more personal space on a plane. Try these.,"Passengers can sometimes secure extra space on flights without paying for business class. Options include paying for an empty adjacent seat, extra legroom, or bidding for upgrades. Cruising Altitude ..."
JetBlue,Delta Airlines adding direct flights to Boston from Palm Beach International Airport next year,"JetBlue and Delta fly nonstop to Boston from Palm Beach and Broward counties, but more flights are being added next year.",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=689952c111644f1b9ea1f2510fc9602a&url=https%3a%2f%2fwww.msn.com%2fen-us%2ftravel%2fnews%2fdelta-airlines-adding-direct-flights-to-boston-from-palm-beach-international-airport-next-year%2far-AA1JVK4k&c=14756069801004074660&mkt=en-us,"Tue, 05 Aug 2025 15:43:00 GMT",Delta Airlines adding direct flights to Boston from Palm Beach International Airport next year,"JetBlue and Delta fly nonstop to Boston from Palm Beach and Broward counties, but more flights are being added next year."
JetBlue,This Is The Real Reason You Can't Go Back On The Plane If You Left Something Behind,"“All items left on an aircraft are given to the local port authority to their lost and found, which could be a lengthy time to recover,” said Topher R., a flight attendant who has been in the skies ...",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=689952c111644f1b9ea1f2510fc9602a&url=https%3a%2f%2fwww.msn.com%2fen-us%2ftravel%2ftips%2fthis-is-the-real-reason-you-cant-go-back-on-the-plane-if-you-left-something-behind%2far-AA1K59yk&c=6697597365525964987&mkt=en-us,"Thu, 07 Aug 2025 04:05:00 GMT",This Is The Real Reason You Can't Go Back On The Plane If You Left Something Behind,"“All items left on an aircraft are given to the local port authority to their lost and found, which could be a lengthy time to recover,” said Topher R., a flight attendant who has been in the skies ..."
JetBlue,JetBlue Sells More Embraer E190s & GE Engines Ahead of E-Jet Retirement,"JetBlue intends to end Embraer E190 operations in early September. JetBlue intends to replace the E190s with the Airbus A220-300, and the carrier only has nine still in operation as of August 2025.",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=689952c111644f1b9ea1f2510fc9602a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fcompanies%2fjetblue-sells-more-embraer-e190s-ge-engines-ahead-of-e-jet-retirement%2far-AA1KdVZC&c=9719913080274239833&mkt=en-us,"Sat, 09 Aug 2025 02:51:00 GMT",JetBlue Sells More Embraer E190s & GE Engines Ahead of E-Jet Retirement,"JetBlue intends to end Embraer E190 operations in early September. JetBlue intends to replace the E190s with the Airbus A220-300, and the carrier only has nine still in operation as of August 2025."
